p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
200618_at	1742.7	3095.5	3871.5	4029.8	2575.9	2898.7	2852	3402.5	1635.4	2294.7	5427.6	4574.9	5356.4	4234.2	3652.6	4724.3
200619_at	2753.8	2554.9	2038.6	2507.9	3408.9	2779.5	2587.3	3169.5	3392.6	2388.4	2457.7	3098.8	1916.6	3027.7	2569.9	1738.3
200620_at	5569.8	5910	8336.5	10749.4	9024.5	8896.5	9303.4	9731.2	3556.4	3382.9	7529.4	5309.1	7644	7200.6	3768.5	4851.8
200621_at	924.5	1185.8	849.3	1149.4	1329.9	1351.4	991.4	974	1364.3	2177.1	1467	1830.9	1228.4	1004.3	1506	1638.3
200622_x_at	1022.8	1219.5	1111.8	1368.7	847	1576.8	994.2	899.3	899.6	530.1	724.4	1272.9	1092.6	765.1	2169.3	1468.1
200623_s_at	733.5	1189.5	1091.3	1284.4	1381.7	1578.8	1056.5	874.2	920.4	959.2	723.9	1099.3	1035.1	715.1	1472	1582.7
200624_s_at	20477.7	13133.4	18074.8	17099.7	11953.6	16200	16280.4	15807.6	17870.2	13820.3	13737.8	13322.4	15714	14547.8	12952.5	9847.6
200625_s_at	2493.6	5266.5	5012.7	5540.9	5651.2	6282.3	4468.7	6198.2	3091.6	2989.6	9351	5682.5	6174.3	5078.5	6699.2	6148.7
200626_s_at	13796.8	10538.3	11920.3	10320.6	11260.2	11359.8	13872.6	8585.3	14162	9422	10604.7	11014.7	12723.9	10082.5	11023.8	8598.4
200627_at	13094.4	18413.2	17031.8	19569.8	16871.8	17298.4	18344.2	15477	9675.4	8256.3	16586.7	13614.4	14400	14853.7	10183.5	10403.6
200628_s_at	498.1	1803.6	934.9	1081.2	979.2	3123.9	1932.1	1799.9	2113.5	2969.6	1802.5	1753.2	1472.6	813.2	2892.2	2822.4
200629_at	877	4192.2	1720.8	1322.7	1345.6	3113.5	3680	4149.6	3836.2	5194.9	5107.1	3609.6	2650.8	1192.6	3927.3	3936
200630_x_at	5671.7	5955.4	4367.3	5876.3	5910.7	6240.3	7629.3	5085	5080.1	6298.6	4369.6	7574.3	4746.3	4942.4	4351.9	4488.7
200631_s_at	11514.8	11514.4	9931.8	9765.2	13645.4	11230.6	13033	14234.1	7574.5	4933	9360.1	8459.9	8963.9	9878.9	5440.5	4659.2
200632_s_at	3230.5	1538.2	976.3	1018.2	1592.9	1056.5	855.2	1238.3	2450.8	1666.3	2305.9	1174	1329.4	1154.2	1285.5	2198.5
200633_at	49780.2	42434.9	50707	51226.3	52748.6	64324	59007.7	61832.8	47894.5	44450.6	45947.9	51642.1	35900.7	42318.6	40764.9	40964.6
200634_at	3504.4	7766.1	3294.8	6143.6	6430.3	4793.7	4091.5	4606.9	4388.4	6123.7	6751.6	9831	6405.8	3678.2	8815.7	8233.5
200635_s_at	152	38.2	47.4	95.5	94.5	63.5	57.4	165.6	182	193	43.4	39.3	26.7	17.8	201.6	166.4
200636_s_at	101.5	170	31.8	132.1	26.7	39	30.7	21.9	27.2	61	34	78.5	9.8	61.1	45.3	94
200637_s_at	27	84	17.2	36	25.7	12.4	20.5	126.3	37.4	53	109.5	36.4	8.9	27.2	66.5	97.2
200638_s_at	29908.6	24782.4	21083.1	24164.4	20835.9	21505.9	17225.7	18677.7	30858.2	28406.1	23552.1	25813.3	19532.8	19159.2	26594.1	20716.7
200639_s_at	21661.9	18668.7	18874.4	20190.5	17498.4	13957.5	17520.5	13776.3	24002.3	16949.7	13116.1	15932.7	14216.4	13586.4	21656.7	12556.4
